	Year	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec
0	2007.0	120.578421053	120.446315789	117.275714286	118.87	120.72952381	122.618095238	121.588571429	116.724347826	115.015	115.741363636	111.21	112.245
1	2008.0	107.656842105	107.164	100.79	102.489047619	104.1385	106.904761905	106.811818182	109.27952381	106.748	100.333636364	96.6763157895	91.3215
2	2009.0	90.4147368421	92.5021052632	97.8723809524	99.0033333333	96.3044444444	96.5172727273	94.4959090909	94.8380952381	91.4931578947	90.289047619	89.1905263158	89.4555
3	2010.0	91.1589473684	90.2836842105	90.5177272727	93.3771428571	91.7652941176	90.9213636364	87.7705263158	85.4736363636	84.3852631579	81.867	82.2417647059	83.4255
4	2011.0	82.6111111111	82.4977777778	81.7936363636	83.347	81.2572222222	80.5118181818	79.3973684211	77.2208695652	76.8410526316	76.772	77.5794444444	77.8455
5	2012.0	76.9783333333	78.392	82.4347619048	81.4733333333	79.7155	79.3214285714	78.983	78.6647826087	78.1677777778	78.9686363636	80.792	83.5777777778
6	2013.0	89.16	93.1661111111	94.7515	97.7095238095	101.082	97.429	99.666	97.87	99.2788888889	97.8513636364	99.7883333333	103.411578947
7	2014.0	103.935	102.156111111	102.2725	102.563809524	101.782105263	102.052380952	101.701428571	102.957142857	107.244210526	108.061363636	116.016875	119.312631579
8	2015.0	118.307777778	118.563333333	120.386818182	119.54952381	120.689411765	123.750454545	123.243333333	123.233809524	120.285	120.061904762	122.532941176	121.924
9	2016.0	118.306111111	115.093157895	113.070454545	109.965238095	109.062222222	105.491818182	103.971052632	101.269090909	101.944210526	103.8175	107.624444444	115.8995
