	Year	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec
0	2007.0	936.359090909	937.3625	943.257142857	931.419047619	927.73	927.507142857	918.852380952	934.023809524	932.405882353	915.859090909	916.977272727	930.236842105
1	2008.0	942.386363636	944.694444444	967.153333333	986.305263158	NA	NA	NA	NA	NA	NA	NA	NA
2	2009.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
3	2010.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
4	2011.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5	2012.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
6	2013.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
7	2014.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
8	2015.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
9	2016.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
