	Year	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec
0	2007.0	26.5301823529	26.3222210526	26.108185	25.8005333333	25.8206631579	25.9167666667	25.5409363636	25.6272304348	25.235775	24.8864826087	24.4529380952	24.574985
1	2008.0	24.4957176471	24.506135	23.7354	23.5194772727	23.72712	23.6369	23.3484086957	24.1883238095	25.2745636364	26.4314347826	27.3609222222	28.1839136364
2	2009.0	32.8295733333	35.8143947368	34.588125	33.5535318182	31.9432684211	31.0570714286	31.5131434783	31.682347619	30.7734590909	29.4392272727	28.91175	30.0388619048
3	2010.0	29.81564	30.1686315789	29.5564954545	29.1838272727	30.5061	31.1988809524	30.653245	30.4003238095	30.8061666667	30.337905	30.9365842105	30.852095
4	2011.0	29.9751466667	29.2804388889	28.4341826087	28.0634428571	27.9296526316	27.9820095238	27.919665	28.754373913	30.781747619	31.25782	30.8180526316	31.508047619
5	2012.0	31.19683125	29.820505	29.336755	29.497295	30.8946526316	32.8916947368	32.5250714286	31.967	31.4150947368	31.09392	31.3960947368	30.7577111111
6	2013.0	30.23721	30.1911526316	30.821755	31.3362636364	31.3223052632	32.3335789474	32.7116333333	33.0245045455	32.563255	32.0730818182	32.6502210526	32.8979631579
7	2014.0	33.9597533333	35.3046263158	36.1312777778	35.6730636364	34.8734736842	34.4176315789	34.7223272727	36.1296	38.0012619048	40.9374454545	46.1990375	56.1208095238
8	2015.0	65.8027571429	64.7262823529	60.2338952381	52.9227318182	50.4641823529	54.5153380952	57.456	65.7262952381	66.6551666667	63.2266	65.0208777778	69.9607
9	2016.0	77.8855333333	77.2295578947	70.0352619048	66.6639380952	65.7548894737	65.1325666667	64.4038157895	64.9503086957	64.4588857143	62.6349	64.3875789474	61.9977666667
