Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,56.77,61.299999,55.93,59.43,22265700,59.260353
2016-11-01,49.400002,56.830002,47.700001,56.389999,27104300,56.229031
2016-10-03,47.02,50.599998,46.779999,49.150002,17259000,48.848152
2016-09-01,47.82,48.169998,45.16,47.23,19619300,46.939941
2016-08-01,43.919998,48.18,42.50,47.740002,16987900,47.446812
2016-07-01,42.299999,45.029999,40.029999,43.810001,21221900,43.540947
2016-06-01,46.040001,47.060001,38.310001,42.389999,27858700,41.977467
2016-05-02,46.540001,47.599998,42.810001,46.57,19974000,46.116787
2016-04-01,41.52,47.84,39.950001,46.279999,21938300,45.829609
2016-03-01,39.150002,44.259998,39.099998,41.75,21835200,41.300022
2016-02-01,42.360001,42.830002,34.52,38.849998,30681100,38.431274
2016-01-04,50.75,51.610001,39.439999,42.580002,33061700,42.121078
2015-12-01,54.400002,55.330002,50.50,51.75,16819300,51.129135
2015-11-02,53.450001,56.459999,52.490002,54.09,15677400,53.441059
2015-10-01,49.419998,55.060001,47.709999,53.169998,18548500,52.532097
2015-09-01,52.400002,53.00,48.470001,49.610001,20241300,48.970032
2015-08-03,58.619999,59.25,47.099998,53.48,20196200,52.790108
2015-07-01,56.009998,60.950001,52.77,58.459999,21171300,57.705864
2015-06-01,54.68,57.639999,54.130001,55.240002,18354900,54.481133
2015-05-01,53.639999,55.369999,52.349998,54.080002,15425900,53.337067
2015-04-01,51.369999,54.459999,50.98,53.32,17531400,52.537727
2015-03-02,52.419998,54.720001,50.470001,51.52,21634600,50.764137
2015-02-02,47.200001,52.869999,46.900002,52.419998,19003100,51.650932
2015-01-02,54.360001,54.689999,46.599998,46.950001,26095600,46.261185
2014-12-01,53.799999,56.950001,51.110001,54.110001,18404000,53.304821
2014-11-03,53.419998,54.52,52.630001,53.970001,12129700,53.166904
2014-10-01,51.68,53.900002,48.110001,53.529999,23086300,52.733452
2014-09-02,51.779999,54.130001,51.119999,51.82,17254700,51.0392
2014-08-01,48.59,52.389999,47.650002,51.650002,14251900,50.871765
2014-07-01,47.419998,50.59,46.549999,48.91,18622100,48.173046
2014-06-02,47.599998,49.59,46.919998,47.099998,16913400,46.381039
2014-05-01,47.810001,48.349998,46.080002,47.57,15628200,46.843868
2014-04-01,47.720001,48.619999,45.18,47.91,25826100,47.168827
2014-03-03,47.799999,51.00,46.790001,47.599998,32793900,46.863621
2014-02-03,47.84,50.150002,46.189999,48.630001,28322200,47.877689
2014-01-02,52.029999,55.279999,47.290001,47.43,33714300,46.696255
2013-12-02,52.959999,53.41,50.27,52.110001,19660100,51.293186
2013-11-01,48.869999,53.68,48.23,52.919998,21928900,52.090485
2013-10-01,48.849998,51.57,47.599998,48.779999,24956200,48.015381
2013-09-03,49.369999,52.880001,47.830002,48.509998,24657300,47.740044
2013-08-01,52.84,53.200001,47.639999,48.330002,22513200,47.562901
2013-07-01,48.50,53.299999,46.700001,52.139999,27196400,51.302586
2013-06-03,52.060001,52.619999,45.060001,47.970001,37839600,47.199562
2013-05-01,46.48,53.560001,45.490002,51.990002,30068000,51.154995
2013-04-01,44.32,47.68,41.599998,46.66,29348600,45.900589
2013-03-01,41.560001,47.919998,41.02,44.240002,36573000,43.519978
2013-02-01,42.48,44.709999,40.279999,41.970001,29791600,41.286922
2013-01-02,40.91,43.34,40.700001,42.16,37698400,41.473827
2012-12-03,34.959999,40.18,34.07,39.560001,40064600,38.906872
2012-11-01,37.57,38.50,34.040001,34.57,37646500,33.999252
2012-10-01,33.00,38.720001,32.700001,37.389999,46349000,36.762859
2012-09-04,29.530001,35.25,29.530001,32.720001,40179600,32.171192
2012-08-01,27.299999,31.120001,26.00,29.709999,30611200,29.211676
2012-07-02,27.469999,27.93,24.91,27.129999,35673200,26.664989
2012-06-01,25.860001,29.309999,24.610001,27.41,46457300,26.940189
2012-05-01,32.919998,33.91,25.75,26.51,44882000,26.055616
2012-04-02,36.400002,37.139999,32.459999,33.040001,38865500,32.463764
2012-03-01,33.52,38.400002,31.77,36.549999,48414400,35.912544
2012-02-01,31.27,34.740002,31.07,33.32,45939500,32.73888
2012-01-03,27.129999,32.09,27.129999,30.719999,56329500,30.174671
2011-12-01,27.08,30.139999,24.40,26.309999,52830000,25.842955
2011-11-01,28.92,31.549999,23.299999,27.48,57649300,26.992186
2011-10-03,25.16,34.400002,21.40,31.59,71773400,31.018827
2011-09-01,30.93,31.049999,23.190001,25.620001,48366800,25.156771
2011-08-01,39.34,39.380001,25.40,31.049999,64634600,30.48859
2011-07-01,41.529999,43.060001,36.919998,38.34,36339100,37.646782
2011-06-01,40.990002,42.00,36.759998,41.639999,46346700,40.876431
2011-05-02,4.60,45.119999,4.46,41.150002,39117600,40.395416
2011-04-01,4.46,4.69,4.35,4.59,41566400,45.047192
2011-03-01,4.70,4.70,4.34,4.42,44739300,43.378777
2011-02-01,4.86,4.96,4.57,4.68,45697100,45.930466
2011-01-03,4.78,5.15,4.72,4.82,65246300,47.304455
2010-12-01,4.28,4.85,4.26,4.73,61799200,46.421177
2010-11-01,4.18,4.52,4.10,4.20,46147400,41.21965
2010-10-01,3.98,4.30,3.91,4.17,58041500,40.925224
2010-09-01,3.75,4.02,3.74,3.91,41655400,38.373531
2010-08-02,4.19,4.20,3.63,3.71,40882900,36.41069
2010-07-01,3.83,4.30,3.62,4.10,51117800,40.238228
2010-06-01,3.90,4.07,3.62,3.76,66281600,36.901398
2010-05-03,4.46,4.48,3.53,3.96,98170400,38.864239
2010-04-01,4.11,5.07,4.02,4.37,94001300,42.888065
2010-03-01,3.42,4.41,3.34,4.05,64029000,39.74752
2010-02-01,3.36,3.48,3.11,3.40,32082400,33.368286
2010-01-04,3.36,3.70,3.14,3.32,60555700,32.583153
2009-12-01,4.15,4.21,3.13,3.31,69181700,32.485008
2009-11-02,4.10,4.31,3.81,4.11,30096000,40.336369
2009-10-01,4.75,5.00,4.00,4.09,47725300,40.140091
2009-09-01,4.92,5.02,4.11,4.84,85206800,47.50074
2009-08-03,3.29,5.43,3.11,5.00,113333400,49.071011
2009-07-01,3.00,3.37,2.55,3.17,45738800,31.111023
2009-06-01,3.76,3.77,2.90,2.97,20633100,29.148182
2009-05-01,3.11,4.41,2.96,3.72,39052500,36.508835
2009-04-01,2.48,4.48,2.43,3.05,53250600,29.933317
2009-03-02,1.50,3.89,0.97,2.53,71643800,24.829931
2009-02-02,3.39,4.10,1.40,1.50,43749200,14.721304
2009-01-02,6.87,7.59,2.80,3.55,27113400,34.84042
2008-12-01,7.90,9.00,5.94,6.71,17176700,65.696877
2008-11-03,13.650001,14.81,3.05,8.29,32025400,81.166489
2008-10-01,20.85,23.50,11.54,13.650001,16221200,133.64566
2008-09-02,19.630001,22.530001,12.85,20.51,15709600,198.322433
2008-08-01,18.950001,20.50,16.85,18.99,7661500,183.62471
2008-07-01,16.57,22.210001,14.010001,18.690001,13188100,180.723846
2008-06-02,21.700001,21.860001,16.58,16.76,10937500,159.304596
2008-05-01,25.230001,27.00,21.01,21.889999,7782000,208.065475
2008-04-01,22.610001,27.35,22.18,25.27,9462000,237.150925
2008-03-03,23.719999,24.360001,17.99,21.42,13183400,201.019897
2008-02-01,28.279999,29.73,23.49,23.710001,9385600,222.510818
2008-01-02,29.73,29.889999,22.360001,28.170002,13501200,264.366516
2007-12-03,33.299999,35.290001,28.800001,29.440001,7804200,273.113922
2007-11-01,38.620003,40.900002,29.60,33.299999,12929900,308.923004
2007-10-01,45.889999,48.950001,40.439999,41.900002,5592500,383.695374
2007-09-04,46.960003,49.00,44.829998,46.670002,3364400,427.376221
2007-08-01,46.400002,49.900002,44.66,46.880001,4715900,429.299255
2007-07-02,51.299999,52.970001,46.50,46.570004,3423900,421.545013
2007-06-01,54.670002,54.75,50.48,51.290005,2263700,464.269806
2007-05-01,53.799999,55.549999,52.579998,54.490002,2497100,493.235748
2007-04-02,51.309998,54.709999,50.41,53.620003,2260700,480.533844
2007-03-01,49.75,52.50,48.049999,51.340004,2350400,460.100861
2007-02-01,55.130001,55.50,49.560001,50.370003,2161500,451.407837
2007-01-03,55.66,56.279999,53.50,55.130001,1890300,489.226776
