Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,39.400002,43.07,39.349998,40.18,2394200,39.165356
2016-11-01,37.740002,40.02,36.93,39.540001,2296600,38.541515
2016-10-03,37.66,38.759998,36.790001,37.630001,2070600,36.679749
2016-09-01,38.139999,38.849998,36.790001,37.610001,2846500,36.182034
2016-08-01,32.259998,37.220001,32.029999,37.200001,2601800,35.787601
2016-07-01,31.49,32.98,29.67,32.75,2986300,31.059021
2016-06-01,31.969999,33.75,28.620001,31.309999,4682800,29.693373
2016-05-02,33.50,33.50,30.790001,32.439999,2695500,30.765026
2016-04-01,30.52,34.540001,29.139999,33.330002,2766500,31.105747
2016-03-01,32.009998,32.889999,30.75,31.120001,3017300,29.043228
2016-02-01,34.400002,35.040001,30.129999,31.77,4274500,28.731331
2016-01-04,38.299999,38.610001,32.700001,35.400002,3670500,32.014137
2015-12-01,40.650002,40.740002,37.279999,39.470001,2365000,35.694859
2015-11-02,38.939999,40.740002,38.50,39.900002,1735500,36.083729
2015-10-01,38.50,40.959999,37.869999,39.07,1724400,35.333115
2015-09-01,38.349998,40.18,36.779999,37.880001,2278600,33.827328
2015-08-03,45.259998,46.380001,38.060001,39.669998,2370900,35.425816
2015-07-01,44.529999,45.790001,42.509998,45.07,1641400,39.802666
2015-06-01,47.529999,48.240002,44.610001,44.810001,1770800,39.573055
2015-05-01,49.130001,49.580002,47.290001,47.50,2221900,41.948673
2015-04-01,42.889999,50.259998,42.700001,49.630001,2762800,43.37175
2015-03-02,44.599998,44.959999,41.200001,42.59,2283000,37.219479
2015-02-02,45.720001,47.580002,44.169998,44.619999,2163600,38.123302
2015-01-02,47.299999,47.380001,44.720001,45.720001,2215300,39.063145
2014-12-01,49.48,50.349998,46.080002,47.23,1961100,40.353287
2014-11-03,50.279999,50.669998,48.990002,49.75,1275700,42.506371
2014-10-01,50.68,51.43,48.799999,51.02,2366300,43.591461
2014-09-02,53.48,54.25,50.619999,50.880001,1315600,43.040916
2014-08-01,53.029999,54.419998,52.400002,54.060001,1414300,45.730976
2014-07-01,51.139999,54.400002,50.16,53.389999,1369200,44.744926
2014-06-02,52.82,52.84,50.439999,50.799999,1282700,42.574306
2014-05-01,51.540001,53.380001,50.130001,52.720001,1562700,44.183418
2014-04-01,51.310001,52.279999,50.27,51.32,2072000,42.6022
2014-03-03,52.09,53.099998,48.860001,50.830002,1899500,42.195438
2014-02-03,51.459999,55.16,50.509998,52.790001,1790100,43.013481
2014-01-02,54.689999,56.27,51.27,51.490002,1604200,41.954239
2013-12-02,55.759998,55.869999,52.73,55.130001,1107400,44.920124
2013-11-01,55.029999,56.790001,54.720001,56.099998,1053300,45.71048
2013-10-01,54.50,56.209999,53.349998,55.040001,1197800,44.84679
2013-09-03,53.990002,56.959999,53.369999,54.259998,983500,43.816639
2013-08-01,57.139999,57.970001,52.110001,52.419998,1227500,42.330784
2013-07-01,52.82,57.110001,51.68,56.75,902200,45.412594
2013-06-03,55.349998,56.18,50.380001,51.900002,1537800,41.531517
2013-05-01,55.380001,58.709999,54.639999,54.860001,1393800,43.900173
2013-04-01,53.349998,55.110001,50.580002,54.860001,1259400,43.522831
2013-03-01,54.290001,55.869999,52.43,53.34,1844500,42.316948
2013-02-01,56.75,57.240002,53.900002,55.439999,1370000,43.252491
2013-01-02,54.360001,57.369999,52.919998,56.860001,1648000,44.360329
2012-12-03,51.279999,53.299999,51.029999,53.07,1516900,41.403492
2012-11-01,49.830002,51.32,47.209999,51.130001,1742900,39.889969
2012-10-01,47.32,49.939999,46.830002,49.360001,1392800,38.509071
2012-09-04,43.48,47.799999,42.849998,46.459999,1685100,35.913776
2012-08-01,42.169998,45.09,41.529999,43.630001,1406900,33.726177
2012-07-02,44.439999,44.950001,39.380001,41.799999,2357000,31.985271
2012-06-01,39.07,44.77,38.560001,44.130001,2348200,33.768185
2012-05-01,45.41,46.130001,38.759998,39.50,2543000,30.225315
2012-04-02,43.880001,45.740002,42.299999,45.169998,2802200,34.207737
2012-03-01,44.919998,46.080002,42.91,44.389999,2092600,33.617035
2012-02-01,42.689999,46.02,42.599998,44.419998,2294900,33.120621
2012-01-03,38.84,42.830002,37.860001,41.830002,2369700,31.189459
2011-12-01,39.299999,40.860001,36.669998,38.099998,1903400,28.408278
2011-11-01,41.880001,43.939999,35.720001,39.150002,3622600,29.191185
2011-10-03,37.720001,45.939999,35.790001,43.66,3432400,32.157055
2011-09-01,43.619999,43.919998,37.029999,38.040001,3512400,28.017738
2011-08-01,50.25,50.299999,40.41,43.560001,5297100,32.083405
2011-07-01,50.25,50.709999,47.23,48.869999,2665900,35.634693
2011-06-01,51.98,52.060001,47.790001,49.619999,3022400,36.181572
2011-05-02,54.610001,54.869999,50.279999,52.360001,2365600,38.179508
2011-04-01,52.23,54.849998,51.849998,54.470001,2316700,39.375271
2011-03-01,54.040001,54.349998,49.330002,51.799999,3999100,37.445179
2011-02-01,55.16,59.139999,54.310001,55.09,2718800,39.368332
2011-01-03,51.32,56.880001,51.279999,54.639999,2220300,39.046753
2010-12-01,51.09,53.099998,50.59,51.040001,1682700,36.474129
2010-11-01,52.349998,56.990002,50.200001,50.560001,2827300,36.131111
2010-10-01,51.650002,53.330002,51.299999,52.110001,2499500,36.957245
2010-09-01,49.380001,53.169998,49.259998,50.59,2498000,35.879234
2010-08-02,53.77,54.080002,48.040001,49.200001,2565200,34.893425
2010-07-01,46.099998,52.330002,45.259998,51.080002,3364600,35.946739
2010-06-01,46.029999,49.07,44.869999,45.59,2737200,32.083237
2010-05-03,51.110001,51.560001,43.25,45.360001,4684900,31.921379
2010-04-01,51.049999,55.27,50.25,50.889999,2400600,35.506866
2010-03-01,51.029999,53.82,49.889999,50.689999,3293100,35.367321
2010-02-01,54.259998,55.59,49.84,54.919998,3086500,37.951565
2010-01-04,58.09,59.689999,53.119999,53.509998,2525900,36.977207
2009-12-01,60.32,61.040001,54.84,57.09,1489000,39.451107
2009-11-02,55.619999,64.419998,54.610001,59.009998,2731500,40.777893
2009-10-01,56.91,58.68,54.349998,55.389999,1871400,38.035049
2009-09-01,52.700001,59.959999,52.029999,57.349998,2124300,39.380936
2009-08-03,53.790001,56.540001,52.049999,53.919998,2527300,37.025635
2009-07-01,41.889999,50.849998,39.130001,50.700001,2029600,34.558121
2009-06-01,44.889999,46.049999,41.00,41.77,2462700,28.471256
2009-05-01,36.09,46.560001,35.59,45.459999,3592900,30.986431
2009-04-01,29.379999,37.50,29.07,35.599998,4242000,24.046757
2009-03-02,27.450001,31.389999,22.889999,28.219999,6973800,19.061783
2009-02-02,36.689999,42.009998,33.200001,34.799999,3869400,23.091074
2009-01-02,48.57,50.00,33.48,38.84,3903300,25.771763
2008-12-01,52.68,57.09,44.639999,48.669998,1881800,32.294327
2008-11-03,60.27,63.50,44.59,54.369999,2364200,36.076485
2008-10-01,81.269997,83.339996,50.580002,59.00,2709100,38.477283
2008-09-02,79.129997,86.50,71.120003,80.830002,3620400,52.713882
2008-08-01,83.230003,84.330002,75.279999,78.709999,1846300,51.331306
2008-07-01,74.870003,84.550003,70.309998,82.510002,3360800,53.182922
2008-06-02,83.620003,84.599998,75.800003,76.699997,2130100,49.438004
2008-05-01,86.220001,88.150002,83.349998,84.209999,1160800,54.278675
2008-04-01,84.080002,87.849998,82.379997,86.790001,1355800,55.356895
2008-03-03,77.949997,83.389999,74.099998,82.300003,2150400,52.493061
2008-02-01,76.089996,79.459999,69.25,75.25,1954800,46.826477
2008-01-02,83.769997,83.839996,70.419998,75.309998,2891800,46.863811
2007-12-03,84.339996,88.290001,82.699997,83.709999,1345700,52.090954
2007-11-01,96.760002,96.809998,81.709999,85.50,2267700,53.204834
2007-10-01,92.43,99.519997,92.260002,99.519997,1165000,61.308861
2007-09-04,90.120003,93.529999,88.32,92.599998,730800,57.045826
2007-08-01,92.300003,94.190002,84.660004,90.309998,1641500,55.635082
2007-07-02,91.779999,94.099998,88.580002,93.160004,1187000,56.843929
2007-06-01,92.849998,94.300003,91.349998,91.769997,611100,55.995781
2007-05-01,92.989998,95.379997,92.260002,93.040001,676400,56.770706
2007-04-02,88.019997,93.50,87.629997,92.360001,781100,55.847
2007-03-01,86.470001,89.040001,85.160004,87.809998,816900,53.095768
2007-02-01,92.260002,92.68,85.449997,87.599998,824500,51.883484
2007-01-03,92.989998,93.360001,89.269997,91.830002,676200,54.388821
