	Year	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec
0	2007.0	44.3394736842	44.1623529412	44.0255	42.1510526316	40.792	40.762	40.4163636364	40.8176190476	40.34	39.5131818182	39.44	39.44
1	2008.0	39.3727272727	39.7295238095	40.3566666667	40.0305555556	42.1255	42.82	42.8365217391	42.9389473684	45.564	48.6422222222	49.0033333333	48.6419047619
2	2009.0	48.84	49.2222222222	51.27	50.0711764706	48.534	47.7736363636	48.5077272727	48.3189473684	48.4389473684	46.7210526316	46.569	46.63
3	2010.0	45.9268421053	46.3257894737	45.498	44.4989473684	45.7705263158	46.5645454545	46.8721052632	46.5665	46.0368421053	44.4175	44.8770588235	45.1689473684
4	2011.0	45.3842105263	45.455	44.9895454545	44.3857142857	44.895	44.8518181818	44.415275	45.2785	47.7278947368	49.24	50.6905555556	52.6405263158
5	2012.0	51.2273684211	49.1636842105	50.323	51.8033333333	54.4361904762	56.03	55.5265	55.5595238095	54.5585166667	52.9583882353	54.7199058824	54.6162666667
6	2013.0	54.3132	53.7450611111	54.3878444444	54.3757055556	55.03335	58.3285736842	59.7794263158	63.208845	63.6411578947	61.631155	62.708575	61.9480315789
7	2014.0	62.1351526316	62.2719235294	60.9669611111	60.3566235294	59.3427894737	59.7307	60.063755	60.8951722222	60.8835619048	61.348025	61.6772875	62.7109238095
8	2015.0	62.1353555556	62.0279235294	62.4498380952	62.7531611111	63.8101888889	63.8607363636	63.6458272727	65.07233	66.1900894737	65.0754789474	66.05041875	66.5955142857
9	2016.0	67.2933666667	68.2430789474	67.02185	66.46953125	66.8861095238	67.2968636364	67.2167888889	66.9396428571	66.73773	66.7572235294	67.5273842105	67.8989105263
