	Year	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec
0	2007.0	936.359090909	937.3625	943.257142857	931.419047619	927.73	927.507142857	918.852380952	934.023809524	932.405882353	915.859090909	916.977272727	930.236842105
1	2008.0	942.386363636	944.694444444	979.380952381	987.657142857	1036.73157895	1029.265	1019.1173913	1041.54	1130.4	1326.92272727	1378.55	1373.84090909
2	2009.0	1346.1	1429.46	1456.66190476	1341.89545455	1258.71052632	1261.35	1263.96521739	1238.3952381	1219.15454545	1175.68	1163.3047619	1165.35
3	2010.0	1139.64210526	1157.04444444	1135.47272727	1117.31818182	1158.985	1212.49545455	1207.615	1179.98636364	1165.84705882	1124.535	1122.1	1147.77619048
4	2011.0	1120.34	1118.4625	1122.44545455	1086.83809524	1083.60526316	1081.23181818	1059.155	1074.10869565	1121.55263158	1155.07222222	1130.23	1147.36190476
5	2012.0	1145.31111111	1124.03157895	1126.15909091	1135.64761905	1154.98	1165.505	1143.23809524	1131.55590909	1124.53888889	1108.7	1087.905	1077.16111111
6	2013.0	1064.95	1087.10555556	1102.115	1121.83181818	1109.8	1135.21052632	1125.97619048	1116.97619048	1086.04117647	1066.7952381	1062.96315789	1056.92631579
7	2014.0	1065.00555556	1071.79473684	1071.07368421	1044.55818182	1025.37894737	1019.57	1020.39545455	1025.36	1034.26111111	1059.745	1094.10555556	1104.32857143
8	2015.0	1088.92631579	1098.38	1112.56818182	1088.66363636	1091.27222222	1112.19545455	1144.13181818	1179.1	1184.42631579	1147.62	1152.65789474	1172.23636364
9	2016.0	1200.54444444	1217.0375	1189.58095238	1147.51	1171.1	1170.5047619	1143.92	1111.67727273	1106.92777778	1125.77894737	1159.935	1181.2952381
