,India,Japan,China,Korea,Canada,Brazil,Russia,European Union
Jan 2007,44.33947368,120.5784211,7.789589474,936.3590909,1.175931818,2.138281818,26.53018235,1.299863636
Feb 2007,44.16235294,120.4463158,7.754626667,937.3625,1.17066,2.094158824,26.32222105,1.30742
March 2007,44.0255,117.2757143,7.738981818,943.2571429,1.166915,2.09104,26.108185,1.324186364
April 2007,42.15105263,118.87,7.724747619,931.4190476,1.133373684,2.032353846,25.80053333,1.351615789
May 2007,40.792,120.7295238,7.673422222,927.73,1.09471,2.02955,25.82066316,1.351131818
Jun 2007,40.762,122.6180952,7.633019048,927.5071429,1.065405,1.9218125,25.91676667,1.341857143
Jul 2007,40.41636364,121.5885714,7.579557143,918.852381,1.050338095,1.883566667,25.54093636,1.371559091
August 2007,40.81761905,116.7243478,7.575291304,934.0238095,1.058768182,1.9557,25.62723043,1.362247826
September 2007,40.34,115.015,7.524294737,932.4058824,1.023727778,1.897446667,25.235775,1.389645
October 2007,39.51318182,115.7413636,7.500629412,915.8590909,0.9752318182,1.80522,24.88648261,1.422747826
Nov 2007,39.44,111.21,7.423313636,916.9772727,0.96868,1.770094118,24.4529381,1.468363636
Dec 2007,39.44,112.245,7.371955556,930.2368421,1.003952941,1.7871625,24.574985,1.457036842
January 2008,39.37272727,107.6568421,7.247813636,942.3863636,1.012404545,1.774563158,24.49571765,1.471790909
February 2008,39.72952381,107.164,7.165035,944.6944444,0.9990857143,1.72644375,24.506135,1.474838095
Mar 2008,40.35666667,100.79,7.075209524,979.3809524,1.002025,1.701558824,23.7354,1.552652632
Apr 2008,40.03055556,102.4890476,7.000685714,987.6571429,1.013886364,1.695727778,23.51947727,1.57505
May 2008,42.1255,104.1385,6.974131579,1036.731579,0.998395,1.662833333,23.72712,1.5557
June 2008,42.82,106.9047619,6.898366667,1029.265,1.016733333,1.618016667,23.6369,1.55527619
July 2008,42.83652174,106.8118182,6.837634783,1019.117391,1.012695455,1.591713043,23.3484087,1.576969565
Aug 2008,42.93894737,109.2795238,6.8515,1041.54,1.054395,1.608285714,24.18832381,1.497538095
Sep 2008,45.564,106.748,6.830605556,1130.4,1.058295238,1.798647368,25.27456364,1.43695
October 2008,48.64222222,100.3336364,6.83155,1326.922727,1.18475,2.14424,26.43143478,1.332208696
November 2008,49.00333333,96.67631579,6.828555,1378.55,1.218022222,2.277275,27.36092222,1.273215
December 2008,48.64190476,91.3215,6.842686364,1373.840909,1.2345,2.38045,28.18391364,1.344942857
Jan 2009,48.84,90.41473684,6.838153333,1346.1,1.2263,2.306205,32.82957333,1.323866667
Feb 2009,49.22222222,92.50210526,6.835763158,1429.46,1.24514,2.30838,35.81439474,1.27847
March 2009,51.27,97.87238095,6.834104545,1456.661905,1.264513636,2.32954375,34.588125,1.304981818
April 2009,50.07117647,99.00333333,6.831166667,1341.895455,1.2231,2.199513333,33.55353182,1.31903
May 2009,48.534,96.30444444,6.824552941,1258.710526,1.15092,2.072647368,31.94326842,1.365045
Jun 2009,47.77363636,96.51727273,6.833245455,1261.35,1.12702,1.95777619,31.05707143,1.401645455
July 2009,48.50772727,94.49590909,6.832026087,1263.965217,1.120666667,1.936152632,31.51314348,1.408769565
August 2009,48.31894737,94.83809524,6.832214286,1238.395238,1.08821,1.84372381,31.68234762,1.4268
September 2009,48.43894737,91.49315789,6.828909091,1219.154545,1.08223,1.821375,30.77345909,1.456163636
Oct 2009,46.72105263,90.28904762,6.827546667,1175.68,1.054852381,1.737376471,29.43922727,1.481636364
Nov 2009,46.569,89.19052632,6.827390476,1163.304762,1.059575,1.724176471,28.91175,1.491447619
December 2009,46.63,89.4555,6.827880952,1165.35,1.0544,1.7468,30.0388619,1.461359091
January 2010,45.92684211,91.15894737,6.827326316,1139.642105,1.042935,1.77218,29.81564,1.42721
February 2010,46.32578947,90.28368421,6.82704,1157.044444,1.05682,1.84656,30.16863158,1.36857
Mar 2010,45.498,90.51772727,6.82643913,1135.472727,1.023004348,1.786347826,29.55649545,1.356852174
Apr 2010,44.49894737,93.37714286,6.826157143,1117.318182,1.00519,1.758318182,29.18382727,1.34057
May 2010,45.77052632,91.76529412,6.827394737,1158.985,1.039589474,1.802738889,30.5061,1.257825
June 2010,46.56454545,90.92136364,6.8165,1212.495455,1.037931818,1.807768182,31.19888095,1.22085
Jul 2010,46.87210526,87.77052632,6.777795,1207.615,1.0427,1.770875,30.653245,1.276905
Aug 2010,46.5665,85.47363636,6.790122727,1179.986364,1.041895,1.759142857,30.40032381,1.289418182
September 2010,46.03684211,84.38526316,6.742023529,1165.847059,1.033085714,1.720785714,30.80616667,1.307619048
October 2010,44.4175,81.867,6.673173333,1124.535,1.017975,1.677070588,30.337905,1.38959
November 2010,44.87705882,82.24176471,6.654705263,1122.1,1.011944444,1.71129375,30.93658421,1.373668421
Dec 2010,45.16894737,83.4255,6.653609524,1147.77619,1.008433333,1.69695,30.852095,1.321914286
Jan 2011,45.38421053,82.61111111,6.603384211,1120.34,0.9946833333,1.673378947,29.97514667,1.33621
February 2011,45.455,82.49777778,6.584035714,1118.4625,0.98738,1.667847368,29.28043889,1.364794737
March 2011,44.98954545,81.79363636,6.566243478,1122.445455,0.9762428571,1.658591304,28.43418261,1.399917391
April 2011,44.38571429,83.347,6.529183333,1086.838095,0.9583,1.592325,28.06344286,1.444178947
May 2011,44.895,81.25722222,6.49951,1083.605263,0.9706,1.61227619,27.92965263,1.435228571
Jun 2011,44.85181818,80.51181818,6.477838095,1081.231818,0.97675,1.587127273,27.98200952,1.438840909
July 2011,44.415275,79.39736842,6.461215,1059.155,0.9554611111,1.56362,27.919665,1.42525
August 2011,45.2785,77.22086957,6.407431818,1074.108696,0.982447619,1.595665217,28.75437391,1.434321739
Sep 2011,47.72789474,76.84105263,6.38281,1121.552632,1.002875,1.738195238,30.78174762,1.375304762
Oct 2011,49.24,76.772,6.356506667,1155.072222,1.019027778,1.774785,31.25782,1.3712
November 2011,50.69055556,77.57944444,6.339205,1130.23,1.023505263,1.774017647,30.81805263,1.35812
December 2011,52.64052632,77.8455,6.328628571,1147.361905,1.024142105,1.831116667,31.50804762,1.317904762
January 2012,51.22736842,76.97833333,6.3158,1145.311111,1.013075,1.791665,31.19683125,1.291515
Feb 2012,49.16368421,78.392,6.30036,1124.031579,0.9966421053,1.71965,29.820505,1.3222
Mar 2012,50.323,82.4347619,6.308136364,1126.159091,0.9938545455,1.790177273,29.336755,1.3201
April 2012,51.80333333,81.47333333,6.296582353,1135.647619,0.99263,1.85062381,29.497295,1.316173684
May 2012,54.43619048,79.7155,6.305366667,1154.98,1.009161905,1.974995455,30.89465263,1.279952381
June 2012,56.03,79.32142857,6.31779,1165.505,1.028071429,2.047771429,32.89169474,1.252628571
Jul 2012,55.5265,78.983,6.32402381,1143.238095,1.01399,2.02927619,32.52507143,1.227552381
Aug 2012,55.55952381,78.66478261,6.34036087,1131.555909,0.9921409091,2.029995652,31.967,1.239995652
September 2012,54.55851667,78.16777778,6.339410526,1124.538889,0.9784555556,2.028473684,31.41509474,1.287084211
October 2012,52.95838824,78.96863636,6.314353333,1108.7,0.985935,2.030615,31.09392,1.297490909
Nov 2012,54.71990588,80.792,6.29576,1087.905,0.9969470588,2.06046,31.39609474,1.28204
Dec 2012,54.61626667,83.57777778,6.29005,1077.161111,0.98943125,2.083405556,30.75771111,1.310917647
January 2013,54.3132,89.16,6.278726316,1064.95,0.9920761905,2.032565,30.23721,1.328638095
February 2013,53.74506111,93.16611111,6.284371429,1087.105556,1.010033333,1.973610526,30.19115263,1.335942105
March 2013,54.38784444,94.7515,6.274295,1102.115,1.024788889,1.983145,30.821755,1.29636
Apr 2013,54.37570556,97.70952381,6.247066667,1121.831818,1.018695455,2.002968182,31.33626364,1.3026
May 2013,55.03335,101.082,6.197804762,1109.8,1.019238095,2.029231818,31.32230526,1.298409524
